label	query
Equatoguinean	Equatorial Guinea
Eritrean	Eritrea
Estonian	Estonia
Ethiopian	Ethiopia
Falkland Island	Falkland Islands
Faroese	Faroe Islands
Fijian	Fiji
Finnish	Finland
French	France
French Guianese	French Guiana
French Polynesian	French Polynesia
Gabonese	Gabon
Gambian	Gambia
Georgian	Georgia
German	Germany
Ghanaian	Ghana
Gibraltar	Gibraltar
British	Great Britain
Greek	Greece
Grecian	Greece
Hellenic	Greece
Greenlandic	Greenland
Grenadian	Grenada
Guadeloupe	Guadeloupe
Guamanian	Guam
Guambat	Guam
Guatemalan	Guatemala
Guinean	Guinea
Guinean	Guinea-Bissau
Guyanese	Guyana
Haitian	Haiti
Honduran	Honduras
Hong Kong	Hong Kong
Hongkongese	Hong Kong
Hungarian	Hungary
Magyar	Hungary
Icelandic	Iceland
Indian	India
Indonesian	Indonesia
Iranian	Iran
Persian	Iran
Iraqi	Iraq
Irish	Ireland
Manx	Isle of Man
Israeli	Israel
Italian	Italy
Italic	Italy
Jamaican	Jamaica
Japanese	Japan
Jordanian	Jordan
Kazakhstani	Kazakhstan
Kazakh	Kazakhstan
Kenyan	Kenya
I-Kiribati	Kiribati
Kosovar	Kosovo
Kosovan	Kosovo
Kuwaiti	Kuwait
Kyrgyzstani	Kyrgyzstan
Kyrgyz	Kyrgyzstan
Kirgiz	Kyrgyzstan
Kirghiz	Kyrgyzstan
Laotian	Laos
Lao	Laos
Latvian	Latvia
Lebanese	Lebanon
Basotho	Lesotho
Liberian	Liberia
Libyan	Libya
Liechtenstein	Liechtenstein
Lithuanian	Lithuania
Luxembourg	Luxembourg
Luxembourgish	Luxembourg
Macanese	Macau
Chinese	Macau
Malagasy	Madagascar
Malawian	Malawi
Malaysian	Malaysia
Maldivian	Maldives
Malian	Mali
Maltese	Malta
Marshallese	Marshall Islands
Martiniquais	Martinique
Martinican	Martinique
Mauritanian	Mauritania
Mauritian	Mauritius
Mahoran	Mayotte
Mexican	Mexico
Micronesian	Micronesia
Moldovan	Moldova
Monégasque	Monaco
Monacan	Monaco
Mongolian	Mongolia
Montenegrin	Montenegro
Montserratian	Montserrat
Moroccan	Morocco
Mozambican	Mozambique
Namibian	Namibia
Nauruan	Nauru
Nepali	Nepal
Nepalese	Nepal
Dutch	Netherlands
New Caledonian	New Caledonia
New Zealand	New Zealand
Nicaraguan	Nicaragua
Nigerien	Niger
Nigerian	Nigeria
Niuean	Niue
North Korean	North Korea
Northern Irish	Northern Ireland
Northern Marianan	Northern Marianas
Norwegian	Norway
Omani	Oman
Pakistani	Pakistan
Palauan	Palau
Palestinian	Palestine
Panamanian	Panama
Papua New Guinean	Papua New Guinea
Papuan	Papua New Guinea
Paraguayan	Paraguay
Chinese	People's Republic of China
Peruvian	Peru
Philippine	Philippines
Filipina	Philippines
Filipino	Philippines
Pitcairn Island	Pitcairn Island
Polish	Poland
Portuguese	Portugal
Puerto Rican	Puerto Rico
Qatari	Qatar
Southern Irish	Republic of Ireland
Irish	Republic of Ireland
Macedonian	Republic of Macedonia
Congolese	Republic of the Congo
Congo	Republic of the Congo
Romanian	Romania
Russian	Russia
Rwandan	Rwanda
Réunionese	Réunion
Réunionnais	Réunion
Reunionese	Réunion
Saint-Pierrais	Saint-Pierre and Miquelon
Miquelonnais	Saint-Pierre and Miquelon
Samoan	Samoa
Sammarinese	San Marino
Saudi	Saudi Arabia
Saudi Arabian	Saudi Arabia
Scots	Scotland
Scottish	Scotland
Scotch	Scotland
Senegalese	Senegal
Serbian	Serbia
Seychellois	Seychelles
Sierra Leonean	Sierra Leone
Singaporean	Singapore
Slovak	Slovakia
Slovenian	Slovenia
Slovene	Slovenia
Solomon Island	Solomon Islands
Somali	Somalia
Somalian	Somalia
South African	South Africa
South Korean	South Korea
South Ossetian	South Ossetia
South Sudanese	South Sudan
Spanish	Spain
Sri Lankan	Sri Lanka
St. Helenian	St. Helena
St Helenian	St. Helena
Kittitian	St. Kitts and Nevis
Nevisian	St. Kitts and Nevis
St. Lucian	St. Lucia
St Lucian	St. Lucia
St. Vincentian	St. Vincent and the Grenadines
St Vincentian	St. Vincent and the Grenadines
Vincentian	St. Vincent and the Grenadines
Sudanese	Sudan
Surinamese	Surinam
Swazi	Swaziland
Swedish	Sweden
Swiss	Switzerland
Syrian	Syria
São Toméan	São Tomé and Príncipe
Sao Tomean	São Tomé and Príncipe
Sao-Tomean	São Tomé and Príncipe
Taiwanese	Taiwan
Tajikistani	Tajikistan
Tanzanian	Tanzania
Thai	Thailand
Togolese	Togo
Tongan	Tonga
Trinidadian	Trinidad and Tobago
Tobagonian	Trinidad and Tobago
Tunisian	Tunisia
Turkish	Turkey
Turkmen	Turkmenistan
Turks and Caicos Islands	Turks and Caicos Islands
Tuvaluan	Tuvalu
Ugandan	Uganda
Ukrainian	Ukraine
Emirati	United Arab Emirates
Emirian	United Arab Emirates
British	United Kingdom
American	United States
U.S.	United States
Uruguayan	Uruguay
Uzbekistani	Uzbekistan
Uzbek	Uzbekistan
Ni-Vanuatu	Vanuatu
Vanuatuan	Vanuatu
Venezuelan	Venezuela
Vietnamese	Vietnam
Virgin Island	Virgin Islands
Welsh	Wales
Wallisian	Wallis and Futuna
Futunan	Wallis and Futuna
Sahraw	Western Sahara
Sahrawian	Western Sahara
Sahraouian	Western Sahara
Yemeni	Yemen
Zambian	Zambia
Zimbabwean	Zimbabwe
